Microseconds	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Acceleration X	Acceleration Y	Acceleration Z	G Force	Angular Velocity X	Angular Velocity Y	Angular Velocity Z	Roll	Pitch	Heading	Velocity North	Velocity East	Velocity Down	Latitude	Longitude
550541	0.7739116	0.12419418	-9.457041	0.231486741	-1.279340421	0.845375625	0.49651036	0.35359344	0.3342134	0.9691499	0.2284755575	-1.2776908549	0.8455084343	1.8186456317	2.5491805052	37.0561938307	6.1021967	4.7439528	-0.01949521	19.0326497127	-98.3184010946
601140	0.78548235	0.034247745	-9.740539	0.128352194	-1.564171604	0.534356586	0.52061856	0.26490495	0.05125569	0.99803305	0.1253385722	-1.5625231001	0.5344930384	1.825351815	2.4694828223	37.0806780857	6.1179457	4.7643876	-0.013223303	19.032652589	-98.3183988695
650566	0.78686744	-0.11710647	-9.307088	0.784789495	-1.510638858	0.643937409	0.53580433	0.11799186	0.48516512	0.9542669	0.7817773052	-1.5089885327	0.6440772765	1.8649013424	2.3945693075	37.1103326422	6.145442	4.785852	0.009858542	19.0326553831	-98.318396645
701199	0.6207301	-0.015404241	-9.4194565	-0.316426898	-0.453163699	0.721275262	0.3785936	0.22353937	0.3730004	0.96395427	-0.3194386129	-0.4515093895	0.7214183923	1.8503056835	2.3707475808	37.1476151539	6.1611934	4.808833	0.011739983	19.0326582786	-98.3183943084
750550	0.6843215	-0.19022451	-9.587109	-2.495719249	0.43366977	0.541633622	0.44113693	0.03656077	0.20569508	0.98188025	-2.4987299959	0.4353253701	0.5417841136	1.7290728613	2.3912974951	37.1793630874	6.1599984	4.820767	0.029726056	19.0326608679	-98.3183920948
801107	0.73232716	-0.38107315	-9.995936	-3.236901628	1.235469661	0.577020528	0.48243386	-0.18133274	-0.2025751	1.0245284	-3.2399078219	1.2371259061	0.5771764842	1.5656616479	2.4527804295	37.2088257914	6.1838245	4.8127136	0.02317336	19.0326637131	-98.3183899049
850515	0.68901616	-0.005123143	-9.535826	-1.029554939	2.560663419	0.711056844	0.4237954	0.17602998	0.25739554	0.97635955	-1.0325602226	2.5623199678	0.7112111299	1.5167061912	2.5773290808	37.2451441839	6.192303	4.815389	0.033639036	19.0326664334	-98.3183878173
901050	0.722688	0.38351944	-9.605332	0.524643792	3.771684191	0.467371631	0.429226	0.56381613	0.18663053	0.9841725	0.5216307297	3.7733392212	0.4675166208	1.5441942116	2.7700676087	37.2759255698	6.1839385	4.846302	0.042263865	19.0326692207	-98.3183855301
950522	0.7620643	0.44535968	-9.860289	0.452043624	3.920921699	0.262475879	0.43478712	0.63089657	-0.07005859	1.010625	0.4490252117	3.9225788546	0.2626099401	1.5671101034	2.9618629633	37.2946809657	6.1709437	4.870969	0.052674074	19.0326718733	-98.3183833877
1115	0.807888	-0.22051083	-10.697652	0.391110596	3.050596531	0.242525257	0.449868	-0.032412425	-0.90906465	1.0958251	0.3880790922	3.0522394193	0.2426462269	1.5845152468	3.1183319725	37.3085113398	6.191997	4.8672776	0.0036647888	19.0326747673	-98.3183811738
